:Id;Manufacturer:Link;ArticleNo;ArtNo;TecDoc.ArtNo;TecDoc.Link;:Id;:Id;ArticleID;ManufacturerArticleNo;Manufacturer:Link;K24Number
9577876F-613D-4B12-A128-463E2AB75159;1340;AKSDASIS-682840N;682840N;682840N;AKSDASIS-682840N;8D67FB6E-8DD0-4F50-AF11-00095A2A44A6;8D67FB6E-8DD0-4F50-AF11-00095A2A44A6;785952;682840N;DAS;1710-12311
CCFD9123-1F10-4A91-9EC3-E79E81ACC81F;2746;TOPRAN-103 835;103 835;103 835;TOPRAN-103 835;9D6253F5-B7C2-43C8-A18E-00096FCAD22B;9D6253F5-B7C2-43C8-A18E-00096FCAD22B;1130439;1720-100782;DIV;1720-100782
160438F7-CDE7-4CAC-94DD-EF2917F43E5A;2746;TOPRAN-207 015;207 015;207 015;TOPRAN-207 015;757412AC-6BE3-41FF-9C92-00097A967D1E;757412AC-6BE3-41FF-9C92-00097A967D1E;220772;207 015;TON;1610-45872
3F3E924F-EE8B-4059-82B8-D70683FD05E7;2141;AJUSA-01107800;01107800;01107800;AJUSA-01107800;130EF229-F9B6-4FC9-8A58-00097F452468;130EF229-F9B6-4FC9-8A58-00097F452468;1021954;01107800;AJU;1240-112820
72AA2789-44A0-4D32-B55B-1D3BB0904EFE;1961;NISSENS-61930;61930;61930;NISSENS-61930;3A02F3E5-86F5-4C36-9EAC-0009FDA0AB8F;3A02F3E5-86F5-4C36-9EAC-0009FDA0AB8F;54553;61930;NIS;1710-26801
CC87958B-9704-4970-9A36-977F3CD14FC1;798;TRW-BHX430E;BHX430E;BHX430E;TRW-BHX430E;610D2E00-B94D-4F68-AA1E-000A0FE3006F;610D2E00-B94D-4F68-AA1E-000A0FE3006F;370206;BHX430E;TRW;1435-51798
BB6B4A88-5EDD-4ECF-B222-5A12DEFE1633;2141;AJUSA-10144000;10144000;10144000;AJUSA-10144000;32BBD0BF-9E74-46FB-89EE-000A12F5401A;32BBD0BF-9E74-46FB-89EE-000A12F5401A;607754;1610-11073;9AJU;1610-11073
98FA5848-139F-45BE-9A6B-5605A80D02CD;2515;FLENNOR-4209V;4209V;4209V;FLENNOR-4209V;70EB2D7F-FABE-4720-B5E6-000A60C0BEA4;70EB2D7F-FABE-4720-B5E6-000A60C0BEA4;626925;1820-0001;9FLN;1820-0001
157ECC8A-303E-461E-B4BB-FF6E01AF94F3;536;VANWEZEL-5886261;5886261;5886261;VANWEZEL-5886261;53BA85CA-9665-4532-A1D2-000A8AE83C3A;53BA85CA-9665-4532-A1D2-000A8AE83C3A;128414;1115-1968;9VAN;1115-1968
0273C263-A0B9-4C2D-ADC6-3303CAB56817;2121;ALKAR-6139377;6139377;6139377;ALKAR-6139377;D8B7D1D9-88A8-43DB-BC4F-000A8AF3E899;D8B7D1D9-88A8-43DB-BC4F-000A8AF3E899;645073;6139377;AKA;1130-14345
